objectid,name,address,zipcode,address_id,y,x,diffx,diffy,latitude,longitude,location,ward
1,The Bank of New York Mellon,1250 H STREET NW,20005,240931,136856.850000000005821,397475.229999999981374,,,38.899560240000000,-77.029105860000001,POINT(-77.029105860000001 38.899560240000000),Ward 2
2,The National Capital Bank of Washington,316 PENNSYLVANIA AVENUE SE,20003,39317,135465.630000000004657,399901.190000000002328,,,38.887031239999999,-77.001138889999993,POINT(-77.001138889999993 38.887031239999999),Ward 6
11,American Bank,5600 CONNECTICUT AVENUE NW,20015,263862,144130.190000000002328,393416.979999999981374,,,38.965059650000001,-77.075959609999998,POINT(-77.075959609999998 38.965059650000001),Ward 3
101,Congressional Bank,2101 K STREET NW,20037,218615,137219.399999999994179,395935.380000000004657,,,38.902820450000000,-77.046859580000003,POINT(-77.046859580000003 38.902820450000000),Ward 2
102,Eagle Bank,700 7TH STREET NW,20001,243354,136753.170000000012806,398075.250000000000000,,,38.898627769999997,-77.022188459999995,POINT(-77.022188459999995 38.898627769999997),Ward 2
103,Eagle Bank,1425 K STREET NW,20005,240264,137228.820000000006985,397131.369999999995343,,,38.902910020000000,-77.033071469999996,POINT(-77.033071469999996 38.902910020000000),Ward 2
104,Eagle Bank,2001 K STREET NW,20006,242788,137237.880000000004657,396074.320000000006985,,,38.902987549999999,-77.045257890000002,POINT(-77.045257890000002 38.902987549999999),Ward 2
105,Eagle Bank,1228 CONNECTICUT AVENUE NW,20036,302357,137664.309999999997672,396345.469999999972060,,,38.906830149999998,-77.042134160000003,POINT(-77.042134160000003 38.906830149999998),Ward 2
106,Eagle Bank,1044 WISCONSIN AVENUE NW,20007,278800,137327.579999999987194,394538.580000000016298,,,38.903787399999999,-77.062963650000000,POINT(-77.062963650000000 38.903787399999999),Ward 2
107,First-Citizens Bank & Trust Company,1717 PENNSYLVANIA AVENUE NW,20006,279332,136846.399999999994179,396496.289999999979045,,,38.899462749999998,-77.040391139999997,POINT(-77.040391139999997 38.899462749999998),Ward 2
108,"HSBC Bank USA,",1130 CONNECTICUT AVENUE NW,20036,241787,137421.290000000008149,396432.539999999979045,,,38.904641300000002,-77.041129040000001,POINT(-77.041129040000001 38.904641300000002),Ward 2
109,Industrial Bank,2000 11TH STREET NW,20001,218578,138810.799999999988358,397625.130000000004657,,,38.917162509999997,-77.027384549999994,POINT(-77.027384549999994 38.917162509999997),Ward 1
110,Industrial Bank,2000 14TH STREET NW,20009,239976,138842.230000000010477,397189.880000000004657,,,38.917444359999998,-77.032403529999996,POINT(-77.032403529999996 38.917444359999998),Ward 1
12,Atlantic Trust Company,1201 F STREET NW,20004,240934,136645.579999999987194,397525.900000000023283,,,38.897657189999997,-77.028520970000002,POINT(-77.028520970000002 38.897657189999997),Ward 2
111,Industrial Bank,1317 F STREET NW,20004,240661,136640.980000000010477,397362.659999999974389,,,38.897615270000003,-77.030402749999993,POINT(-77.030402749999993 38.897615270000003),Ward 2
112,Industrial Bank,4812 GEORGIA AVENUE NW,20011,252851,142378.500000000000000,397622.940000000002328,,,38.949301429999998,-77.027422160000000,POINT(-77.027422160000000 38.949301429999998),Ward 4
113,Industrial Bank,125 45TH STREET NE,20019,285981,135975.239999999990687,405424.830000000016298,,,38.891605259999999,-76.937468870000004,POINT(-76.937468870000004 38.891605259999999),Ward 7
114,Industrial Bank,1800 MARTIN LUTHER KING JR AVENUE SE,20020,56153,133299.779999999998836,401034.280000000027940,,,38.867519799999997,-76.988082050000003,POINT(-76.988082050000003 38.867519799999997),Ward 8
115,John Marshall Bank,1330 NEW HAMPSHIRE AVENUE NW,20036,226576,137801.459999999991851,396072.489999999990687,,,38.908064469999999,-77.045282209999996,POINT(-77.045282209999996 38.908064469999999),Ward 2
116,JP Morgan Chase Bank,800 CONNECTICUT AVENUE NW,20006,301059,136950.640000000013970,396665.250000000000000,,,38.900402430000000,-77.038443860000001,POINT(-77.038443860000001 38.900402430000000),Ward 2
117,Manufacturers and Traders Trust Company,1420 WISCONSIN AVENUE NW,20007,277048,137818.309999999997672,394442.049999999988358,,,38.908207460000000,-77.064080500000003,POINT(-77.064080500000003 38.908207460000000),Ward 2
118,Manufacturers and Traders Trust Company,2620 CONNECTICUT AVENUE NW,20008,219094,139604.299999999988358,395463.109999999986030,,,38.924302109999999,-77.052319969999999,POINT(-77.052319969999999 38.924302109999999),Ward 3
119,Manufacturers and Traders Trust Company,5630 CONNECTICUT AVENUE NW,20015,263863,144200.230000000010477,393377.580000000016298,,,38.965690299999999,-77.076414909999997,POINT(-77.076414909999997 38.965690299999999),Ward 3
120,Manufacturers and Traders Trust Company,6434 GEORGIA AVENUE NW,20012,253291,144519.959999999991851,397605.669999999983702,,,38.968592209999997,-77.027628870000001,POINT(-77.027628870000001 38.968592209999997),Ward 4
13,Bank of America,1835 COLUMBIA ROAD NW,20009,295012,139304.239999999990687,396204.700000000011642,,,38.921602589999999,-77.043766210000001,POINT(-77.043766210000001 38.921602589999999),Ward 1
121,Manufacturers and Traders Trust Company,2865 ALABAMA AVENUE SE,20020,278292,132483.630000000004657,403033.190000000002328,,,38.860162959999997,-76.965052319999998,POINT(-76.965052319999998 38.860162959999997),Ward 7
122,PNC Bank,1779 COLUMBIA ROAD NW,20009,235934,139493.119999999995343,396333.820000000006985,,,38.923304629999997,-77.042278240000002,POINT(-77.042278240000002 38.923304629999997),Ward 1
123,PNC Bank,3300 14TH STREET NW,20010,234465,140286.000000000000000,397140.200000000011642,,,38.930450139999998,-77.032982410000002,POINT(-77.032982410000002 38.930450139999998),Ward 1
124,PNC Bank,1800 M STREET NW,20036,241302,137497.809999999997672,396336.440000000002328,,,38.905330229999997,-77.042237380000003,POINT(-77.042237380000003 38.905330229999997),Ward 2
125,PNC Bank,833 7TH STREET NW,20001,300518,136983.890000000013970,398123.159999999974389,,,38.900706280000001,-77.021636790000002,POINT(-77.021636790000002 38.900706280000001),Ward 2
126,PNC Bank,800 H STREET NE,20002,151153,136953.299999999988358,400454.840000000025611,,,38.900432600000002,-76.994756480000007,POINT(-76.994756480000007 38.900432600000002),Ward 6
127,PNC Bank,601 PENNSYLVANIA AVENUE NW,20004,226088,136161.649999999994179,398221.460000000020955,,,38.893299450000001,-77.020501429999996,POINT(-77.020501429999996 38.893299450000001),Ward 2
128,PNC Bank,1331 PENNSYLVANIA AVENUE NW,20004,279081,136502.519999999989523,397278.549999999988358,,,38.896367720000001,-77.031371800000002,POINT(-77.031371800000002 38.896367720000001),Ward 2
129,PNC Bank,1405 P STREET NW,20005,303731,137993.970000000001164,397200.840000000025611,,,38.909802980000002,-77.032273689999997,POINT(-77.032273689999997 38.909802980000002),Ward 2
130,PNC Bank,1100 H STREET NW,20005,239128,136852.799999999988358,397624.830000000016298,,,38.899524169999999,-77.027381239999997,POINT(-77.027381239999997 38.899524169999999),Ward 2
14,Bank of America,3131 MOUNT PLEASANT STREET NW,20010,284590,140195.609999999986030,396757.609999999986030,,,38.929634550000003,-77.037394430000006,POINT(-77.037394430000006 38.929634550000003),Ward 1
131,PNC Bank,1400 K STREET NW,20005,240269,137146.359999999986030,397188.820000000006985,,,38.902167380000002,-77.032408810000007,POINT(-77.032408810000007 38.902167380000002),Ward 2
132,PNC Bank,1919 PENNSYLVANIA AVENUE NW,20006,241082,137007.600000000005821,396156.599999999976717,,,38.900913469999999,-77.044308029999996,POINT(-77.044308029999996 38.900913469999999),Ward 2
133,PNC Bank,800 17TH STREET NW,20006,218758,136959.390000000013970,396552.609999999986030,,,38.900480819999999,-77.039742450000006,POINT(-77.039742450000006 38.900480819999999),Ward 2
134,PNC Bank,1913 MASSACHUSETTS AVENUE NW,20036,300942,138040.299999999988358,396159.309999999997672,,,38.910216409999997,-77.044282559999999,POINT(-77.044282559999999 38.910216409999997),Ward 2
135,PNC Bank,1800 M STREET NW,20036,241302,137497.809999999997672,396336.440000000002328,,,38.905330229999997,-77.042237380000003,POINT(-77.042237380000003 38.905330229999997),Ward 2
136,PNC Bank,1920 L STREET NW,20036,242545,137294.739999999990687,396141.830000000016298,,,38.903500070000000,-77.044479910000007,POINT(-77.044479910000007 38.903500070000000),Ward 2
137,PNC Bank,2501 PENNSYLVANIA AVENUE NW,20037,293225,137352.329999999987194,395343.020000000018626,,,38.904014990000000,-77.053689590000005,POINT(-77.053689590000005 38.904014990000000),Ward 2
138,PNC Bank,1201 WISCONSIN AVENUE NW,20007,272025,137503.970000000001164,394575.669999999983702,,,38.905376609999998,-77.062537440000000,POINT(-77.062537440000000 38.905376609999998),Ward 2
139,PNC Bank,5252 WISCONSIN AVENUE NW,20015,265899,143429.100000000005821,392620.169999999983702,,,38.958737730000003,-77.085146230000007,POINT(-77.085146230000007 38.958737730000003),Ward 3
140,PNC Bank,5530 CONNECTICUT AVENUE NW,20015,263837,143991.089999999996508,393463.489999999990687,,,38.963806959999999,-77.075421620000000,POINT(-77.075421620000000 38.963806959999999),Ward 3
15,Bank of America,3100 14TH STREET NW,20010,306304,140158.410000000003492,397140.039999999979045,,,38.929300769999998,-77.032983720000004,POINT(-77.032983720000004 38.929300769999998),Ward 1
141,PNC Bank,4835 MASSACHUSETTS AVENUE NW,20016,269570,141937.019999999989523,391721.849999999976717,,,38.945288669999997,-77.095492750000005,POINT(-77.095492750000005 38.945288669999997),Ward 3
142,PNC Bank,7601 GEORGIA AVENUE NW,20012,253715,145975.500000000000000,397723.390000000013970,,,38.981704360000002,-77.026275290000001,POINT(-77.026275290000001 38.981704360000002),Ward 4
143,PNC Bank,1348 4TH STREET NE,20002,286090,138024.750000000000000,400101.940000000002328,,,38.910084710000000,-76.998824650000003,POINT(-76.998824650000003 38.910084710000000),Ward 5
