Team,Opponent,Rank,Site,TV,Attendance,Current Wins,Current Losses,Stadium Capacity,Fill Rate,New Coach,Tailgating,PRCP,SNOW,SNWD,TMAX,TMIN,Opponent_Rank,Conference,conference_game,isRanked,Win,Team_Score,Opp_Score,OT,Special,GD,DateTime,Year,State,Region,OppisRanked
Louisiana Tech,Mississippi Valley State,99,"Joe Aillet StadiumRuston, Louisiana",,18565,0,0,30600,0.606699346,0,0,0.0,0.0,0.0,98,70,99,WAC,1,0,1,63,10,0,0,0,2000-08-26 18:00:00,2000,LA,S,0
Ole Miss,Tulane,18,"VaughtHemingway StadiumOxford, Mississippi ",1,46847,0,0,50577,0.9262510629999999,0,1,0.0,0.0,0.0,100,74,99,SEC,1,1,1,49,20,0,1,0,2000-08-31 11:30:00,2000,MS,S,0
San Diego State,Arizona State,99,Qualcomm StadiumSan Diego,1,30931,0,0,54000,0.572796296,0,0,0.0,0.0,0.0,75,66,99,MWC,1,0,0,7,10,0,0,0,2000-08-31 19:00:00,2000,CA,W,0
Marshall,SE Missouri State,99,"Marshall University StadiumHuntington, WV",,30225,0,0,38019,0.794997238,0,0,0.0,0.0,0.0,80,60,99,Mid-American,1,0,1,63,7,0,0,0,2000-08-31 19:00:00,2000,WV,S,0
UMass,William Mary,4,"McGuirk StadiumHadley, MA",,10176,0,0,17000,0.598588235,0,0,0.0,0.0,0.0,81,56,99,FCS,0,1,1,36,16,0,0,0,2000-08-31 19:00:00,2000,MA,N,0
Northwestern,Northern Illinois,99,"Ryan FieldEvanston, IL",,23352,0,0,47130,0.495480586,0,0,0.0,0.0,0.0,82,67,99,Big-10,1,0,1,35,17,0,0,0,2000-08-31 19:00:00,2000,IL,M,0
Wisconsin,Western Michigan,4,"Camp Randall StadiumMadison, WI",1,77843,0,0,76129,1.022514416,0,1,0.0,0.0,0.0,91,71,99,Big-10,1,1,1,19,7,0,0,0,2000-08-31 19:00:00,2000,WI,M,0
Nebraska,San José State,1,"Memorial StadiumLincoln, Nebraska",1,77728,0,0,73918,1.051543602,0,1,0.0,0.0,0.0,106,64,99,Big-12,1,1,1,49,13,0,0,0,2000-09-02 11:30:00,2000,NE,W,0
Iowa State,Ohio,99,"Jack Trice StadiumAmes, IA",1,34385,0,0,43000,0.7996511629999999,0,0,0.0,0.0,0.0,96,68,99,Big-12,1,0,1,25,15,0,0,0,2000-09-02 11:30:00,2000,IA,M,0
West Virginia,Boston College,99,"Mountaineer FieldMorgantown, West Virginia",1,49786,0,0,63500,0.784031496,0,0,0.0,0.0,0.0,86,60,99,WAC,0,0,1,34,14,0,0,0,2000-09-02 12:00:00,2000,VA,S,0
